Country,Data source,Sector,Gas,Unit,2019,2018,2017,2016,2015,2014,2013,2012,2011
Nigeria,Climate Watch,Energy,CH4,MtCO₂e,72.57,70.34,68.95,67.09,70.22,70.98,70.71,72.92,74.32
Philippines,Climate Watch,Electricity/Heat,CO2,MtCO₂e,72.54,66.7,60.93,53.35,49.47,45.64,42.48,36.86,34.45
United Arab Emirates,Climate Watch,Electricity/Heat,CO2,MtCO₂e,72.45,73.3,74.22,72.7,72.47,67.84,64.67,64.4,62.18
Turkmenistan,Climate Watch,Energy,CH4,MtCO₂e,72.25,70.19,67.7,67.87,70.08,68.38,69.47,64.08,60.55
Turkmenistan,Climate Watch,Fugitive Emissions,CH4,MtCO₂e,72.11,70.04,67.55,67.72,69.94,68.24,69.34,63.95,60.42
Turkmenistan,Climate Watch,Energy,CO2,MtCO₂e,71.42,71.6,71.75,72.0,72.14,70.29,69.21,68.12,64.72
Algeria,Climate Watch,Energy,CH4,MtCO₂e,71.38,73.77,72.46,72.73,69.55,69.55,66.39,67.03,63.2
Algeria,Climate Watch,Fugitive Emissions,CH4,MtCO₂e,71.04,73.45,72.16,72.44,69.26,69.28,66.13,66.78,62.97
Australia,Climate Watch,Agriculture,CH4,MtCO₂e,70.79,88.05,89.15,68.0,85.13,89.67,80.15,118.46,118.99
Canada,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,70.63,70.8,70.65,69.54,64.91,64.36,65.1,67.07,66.04
Romania,Climate Watch,Energy,CO2,MtCO₂e,70.12,71.69,70.9,68.41,69.98,68.6,69.4,78.7,80.98
United Arab Emirates,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,69.19,54.48,71.18,83.42,81.88,71.53,76.42,72.86,65.26
Ethiopia,Climate Watch,Agriculture,CH4,MtCO₂e,69.13,68.48,68.46,67.01,65.18,63.79,61.76,59.88,57.74
Bolivia,Climate Watch,Land-Use Change and Forestry,CO2,MtCO₂e,67.38,67.38,67.38,67.38,59.78,59.78,59.78,59.78,59.78
Turkey,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,67.08,72.69,68.79,51.06,50.61,47.98,46.48,54.09,52.08
China,Climate Watch,Bunker Fuels,CO2,MtCO₂e,66.09,66.31,61.54,57.07,53.19,44.62,44.67,47.18,46.97
Morocco,Climate Watch,Energy,CO2,MtCO₂e,65.9,59.39,57.95,55.11,55.11,53.52,51.52,52.24,50.75
South Korea,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,65.59,72.13,72.07,73.0,76.27,72.23,77.01,76.33,80.13
Myanmar,Climate Watch,Agriculture,CH4,MtCO₂e,65.08,64.24,61.91,59.83,58.81,57.43,56.51,55.8,55.87
Tanzania,Climate Watch,Land-Use Change and Forestry,CO2,MtCO₂e,64.1,64.1,64.11,64.12,51.96,51.96,51.96,51.97,51.97
Thailand,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,63.24,55.0,46.77,38.54,30.3,26.8,23.29,19.78,16.28
Austria,Climate Watch,Energy,CO2,MtCO₂e,63.0,61.23,64.15,61.96,61.54,60.41,64.09,63.43,66.61
Netherlands,Climate Watch,Electricity/Heat,CO2,MtCO₂e,61.23,63.66,67.84,71.39,72.81,68.13,64.86,64.88,67.73
Kuwait,Climate Watch,Electricity/Heat,CO2,MtCO₂e,61.02,60.5,59.49,61.25,60.41,58.16,57.88,57.41,55.33
Israel,Climate Watch,Energy,CO2,MtCO₂e,60.88,59.3,63.63,63.0,63.91,62.43,64.83,73.81,67.57
Bangladesh,Climate Watch,Agriculture,CH4,MtCO₂e,60.74,60.49,60.51,58.37,59.26,59.21,58.94,58.82,58.73
Mexico,Climate Watch,Agriculture,CH4,MtCO₂e,60.71,60.0,59.36,58.42,57.83,56.9,56.36,55.61,57.46
World,Climate Watch,Electricity/Heat,N2O,MtCO₂e,60.7,60.9,58.73,56.7,56.13,57.54,57.52,55.74,54.33
Libya,Climate Watch,Energy,CH4,MtCO₂e,60.06,55.54,48.12,30.65,30.62,31.43,48.72,67.75,26.81
Libya,Climate Watch,Fugitive Emissions,CH4,MtCO₂e,59.83,55.31,47.89,30.43,30.4,31.21,48.49,67.53,26.64
Canada,Climate Watch,Energy,CH4,MtCO₂e,59.6,59.92,57.14,53.66,51.23,50.57,47.79,45.63,45.06
Pakistan,Climate Watch,Agriculture,N2O,MtCO₂e,59.14,58.3,57.19,53.78,51.29,50.32,49.94,46.68,48.17
Canada,Climate Watch,Fugitive Emissions,CH4,MtCO₂e,56.71,57.03,54.28,50.84,48.4,47.74,44.96,42.84,42.27
Argentina,Climate Watch,Electricity/Heat,CO2,MtCO₂e,56.66,64.08,68.18,71.12,69.72,66.95,64.94,67.52,64.48
Greece,Climate Watch,Energy,CO2,MtCO₂e,56.64,61.6,63.11,63.08,64.54,65.73,68.85,76.99,82.12
Mexico,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,56.27,55.71,68.35,61.94,66.02,59.05,65.75,61.5,67.93
Indonesia,Climate Watch,Energy,CH4,MtCO₂e,56.08,54.92,55.07,54.81,54.32,57.06,58.25,58.34,57.63
France,Climate Watch,Electricity/Heat,CO2,MtCO₂e,56.02,58.92,62.15,53.27,52.53,49.47,63.52,66.36,64.59
Uzbekistan,Climate Watch,Electricity/Heat,CO2,MtCO₂e,55.91,52.87,48.53,47.66,46.23,46.45,46.23,44.13,44.74
Cameroon,Climate Watch,Industrial Processes,N2O,MtCO₂e,55.73,55.73,55.73,55.73,55.73,55.73,55.73,55.73,55.73
Australia,Climate Watch,Agriculture,N2O,MtCO₂e,55.59,71.49,74.16,52.1,66.55,70.38,57.93,100.54,101.12
China,Climate Watch,Energy,N2O,MtCO₂e,55.52,55.01,54.19,53.19,53.49,53.18,53.38,51.85,50.41
Belarus,Climate Watch,Energy,CO2,MtCO₂e,55.41,57.11,54.02,53.0,52.6,56.78,57.52,57.55,56.36
Qatar,Climate Watch,Electricity/Heat,CO2,MtCO₂e,55.09,53.65,52.95,51.83,51.1,49.4,47.99,47.27,44.43
United States,Climate Watch,Energy,N2O,MtCO₂e,55.04,56.19,54.93,55.16,55.04,54.83,54.64,52.42,53.59
South Korea,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,54.64,51.71,48.79,45.86,42.94,41.78,40.46,39.2,37.79
Libya,Climate Watch,Energy,CO2,MtCO₂e,54.39,54.22,52.62,49.3,49.39,55.29,57.83,56.86,40.61
Pakistan,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,54.01,53.49,52.6,46.48,41.38,37.9,33.3,35.38,37.78
Thailand,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,53.61,48.13,53.1,51.91,57.32,50.4,50.56,48.69,44.14
North Korea,Climate Watch,Energy,CO2,MtCO₂e,53.41,47.9,51.68,27.3,22.55,28.68,25.11,36.05,34.66
Vietnam,Climate Watch,Industrial Processes,CO2,MtCO₂e,52.85,49.64,42.74,36.82,34.3,32.69,30.32,28.12,28.22
