,Country,Carbon,Methane,Nitrogen,FGas
252,Bulgaria,3.03,18.97,0.82,1.61
253,Mexico,3.0,18.54,0.79,1.56
254,Spain,3.0,18.49,0.79,1.62
255,Ecuador,2.98,18.36,0.79,1.55
256,Malaysia,2.95,18.14,0.78,1.71
257,South Africa,2.92,18.13,0.77,1.34
258,Israel,2.89,17.96,0.76,1.38
259,Tanzania,2.68,17.91,0.76,1.62
260,Switzerland,2.61,17.84,0.74,1.42
261,Angola,2.6,17.59,0.74,1.34
262,Ukraine,2.56,17.35,0.72,1.34
263,Canada,2.54,17.18,0.71,1.3
264,Norway,2.54,16.93,0.69,1.51
265,Myanmar,2.47,16.02,0.69,1.26
266,Azerbaijan,2.46,15.82,0.69,1.24
267,Ireland,2.45,15.71,0.68,1.23
268,Cameroon,2.36,15.61,0.66,1.25
269,Sweden,2.33,15.5,0.66,1.18
270,Germany,2.33,15.34,0.64,1.14
271,New Zealand,2.3,15.12,0.63,1.02
272,Canada,2.28,15.09,0.63,1.24
273,North Korea,2.23,14.98,0.62,1.23
274,Japan,2.23,14.91,0.59,1.01
275,Iraq,2.13,14.76,0.59,1.0
276,France,2.11,14.68,0.59,0.97
277,Zambia,2.08,14.64,0.58,0.96
278,Bahrain,2.02,14.58,0.56,0.98
279,Kenya,2.0,14.45,0.56,1.1
280,Indonesia,1.98,14.44,0.56,0.84
281,United States,1.97,14.32,0.56,0.85
282,Mexico,1.95,14.19,0.54,0.8
283,Serbia,1.85,14.16,0.54,0.88
284,Belarus,1.85,14.09,0.54,0.85
285,Germany,1.8,14.08,0.53,0.85
286,Ethiopia,1.77,13.99,0.53,0.79
287,United Kingdom,1.73,13.98,0.53,0.8
288,Belgium,1.72,13.96,0.52,0.77
289,Spain,1.7,13.94,0.52,0.85
290,Italy,1.7,13.93,0.52,0.7
291,Poland,1.69,13.67,0.5,0.68
292,Nigeria,1.69,13.63,0.5,0.66
293,Turkey,1.67,13.44,0.49,0.66
294,Egypt,1.64,13.29,0.49,0.62
295,Argentina,1.64,13.12,0.48,0.6
296,Slovakia,1.61,13.1,0.47,0.59
297,Turkey,1.52,13.04,0.47,0.58
298,Cambodia,1.52,12.98,0.47,0.5
299,Egypt,1.5,12.9,0.46,0.61
300,Mexico,1.48,12.86,0.45,0.52
301,Morocco,1.47,12.59,0.45,0.6
302,Denmark,1.46,12.57,0.44,0.57
303,Greece,1.45,12.24,0.44,0.48
304,Sudan,1.43,12.23,0.44,0.54
305,European Union (27),1.43,12.02,0.44,0.46
306,Kazakhstan,1.41,11.81,0.44,0.45
307,United Arab Emirates,1.4,11.69,0.43,0.44
