,Country,Carbon,Methane,Nitrogen,FGas
6827,Cape Verde,0.01,1.78,0.02,0.0
6828,Cuba,0.02,1.71,0.04,0.0
6829,Czech Republic,0.02,1.76,0.02,0.0
6830,Djibouti,0.03,1.56,0.02,0.0
6831,Denmark,0.02,0.62,0.02,0.0
6832,Egypt,0.02,0.91,0.02,0.0
6833,Spain,0.03,0.89,0.01,0.0
6834,Fiji,0.03,0.9,0.02,0.0
6835,France,0.04,0.5,0.02,0.0
6836,France,0.03,1.12,0.15,0.0
6837,Micronesia,0.03,0.72,0.02,0.0
6838,Gambia,0.03,1.43,0.03,0.0
6839,Iran,0.03,1.08,0.02,0.0
6840,Italy,0.03,0.92,0.02,0.0
6841,Kazakhstan,0.49,0.77,0.02,0.0
6842,Kyrgyzstan,0.07,1.08,0.03,0.0
6843,Kuwait,0.02,1.13,0.02,0.0
6844,Saint Lucia,0.03,0.74,0.01,0.0
6845,Luxembourg,0.05,1.31,0.02,0.0
6846,Malta,0.03,1.1,0.02,0.0
6847,Malaysia,0.02,0.6,0.01,0.0
6848,Namibia,0.01,1.43,0.02,0.0
6849,Nicaragua,0.02,0.52,0.02,0.0
6850,Nicaragua,0.02,0.57,0.02,0.0
6851,Nicaragua,0.02,0.27,0.0,0.0
6852,Oman,0.02,0.78,0.02,0.0
6853,Palau,0.03,1.49,0.02,0.0
6854,Poland,0.03,0.76,0.02,0.0
6855,Singapore,0.02,0.98,0.02,0.0
6856,Slovenia,0.02,0.75,0.02,0.0
6857,Sweden,0.02,0.87,0.02,0.0
6858,Tajikistan,0.02,1.44,0.01,0.0
6859,Tonga,0.0,0.9,0.02,0.0
6860,Turkey,0.02,0.59,0.02,0.0
6861,Ukraine,0.02,1.4,0.01,0.0
6862,Uruguay,0.0,0.74,0.02,0.0
6863,Uzbekistan,0.14,0.83,0.01,0.0
6864,Samoa,0.01,1.04,0.01,0.0
6865,Zambia,0.01,1.15,0.02,0.0
6866,Afghanistan,0.01,0.92,0.02,0.0
6867,Afghanistan,0.01,0.4,0.02,0.0
6868,United Arab Emirates,0.02,1.19,0.01,0.0
6869,Argentina,0.01,0.94,0.02,0.0
6870,Argentina,0.01,0.99,0.01,0.0
6871,Armenia,0.01,0.44,0.05,0.0
6872,Armenia,0.02,1.44,0.0,0.0
6873,Belgium,0.02,-1.95,0.02,0.0
6874,Bangladesh,0.02,0.73,0.01,0.0
6875,Belize,0.01,0.53,0.02,0.0
6876,Bhutan,0.01,1.49,0.02,0.0
6877,Botswana,0.01,0.32,0.02,0.0
6878,Central African Republic,0.02,0.67,0.02,0.0
6879,Canada,0.02,0.94,0.01,0.0
6880,Switzerland,0.02,0.62,0.02,0.0
6881,Cook Islands,0.02,0.92,0.01,0.0
6882,Colombia,0.02,2.11,0.01,0.0
6883,Cuba,0.02,0.97,0.01,0.0
6884,Czech Republic,0.02,0.68,0.02,0.0
6885,Czech Republic,0.02,1.02,0.02,0.0
6886,Djibouti,0.02,1.17,0.02,0.0
6887,Denmark,0.02,0.85,0.02,0.0
6888,Micronesia,0.03,0.56,0.22,0.0
6889,Guinea-Bissau,0.02,0.66,0.02,0.0
6890,Guatemala,0.02,0.61,0.01,0.0
6891,Guyana,0.02,0.49,0.03,0.0
6892,Hungary,0.03,0.68,0.02,0.0
6893,Indonesia,0.02,1.6,0.02,0.0
6894,Ireland,0.2,0.58,0.02,0.0
6895,Ireland,0.02,0.8,0.0,0.0
6896,Israel,0.02,2.07,0.03,0.0
6897,Italy,0.02,0.71,0.02,0.0
6898,Japan,0.01,0.73,0.05,0.0
6899,Japan,0.02,0.13,0.02,0.0
6900,Kazakhstan,0.01,0.49,0.01,0.0
6901,Cambodia,0.0,0.44,0.01,0.0
6902,Kuwait,0.02,0.49,0.01,0.0
6903,Lebanon,0.02,0.5,0.01,0.0
6904,Sri Lanka,0.03,0.35,0.01,0.0
6905,Lithuania,0.02,0.65,0.01,0.0
6906,Malta,0.01,1.11,0.01,0.0
6907,Myanmar,0.01,0.38,0.02,0.0
6908,Mauritania,0.01,1.26,0.01,0.0
6909,Mauritania,0.02,0.85,0.01,0.0
6910,Mauritius,0.01,0.26,0.01,0.0
6911,Mauritius,0.01,0.79,0.01,0.0
6912,Malaysia,0.01,0.48,0.01,0.0
6913,Norway,0.01,0.5,0.02,0.0
6914,New Zealand,0.01,0.68,0.01,0.0
6915,Pakistan,0.01,0.65,0.0,0.0
6916,Peru,0.01,0.42,0.01,0.0
6917,Philippines,0.01,0.53,0.0,0.0
6918,Philippines,0.1,0.47,0.01,0.0
6919,Portugal,0.01,0.47,0.02,0.0
6920,Portugal,0.02,0.96,0.01,0.0
6921,Portugal,0.01,0.53,0.01,0.0
6922,Paraguay,0.01,0.62,0.01,0.0
6923,Romania,0.01,0.73,0.01,0.0
6924,Sudan,0.01,1.29,0.01,0.0
6925,Singapore,0.01,0.47,0.01,0.0
6926,Sao Tome and Principe,0.01,0.52,0.02,0.0
6927,Slovakia,0.0,0.4,0.0,0.0
6928,Slovakia,0.01,0.46,0.01,0.0
6929,Slovenia,0.01,0.78,0.01,0.0
6930,Chad,0.01,0.48,0.01,0.0
6931,Tanzania,0.01,0.58,0.01,0.0
6932,Ukraine,0.01,0.34,0.01,0.0
6933,Vietnam,0.01,0.23,0.01,0.0
6934,Zambia,0.02,0.69,0.0,0.0
6935,Zambia,0.01,1.19,0.0,0.0
6936,United Arab Emirates,0.01,0.56,0.01,0.0
6937,United Arab Emirates,0.01,0.87,0.02,0.0
6938,Argentina,0.01,0.65,0.01,0.0
6939,Burundi,0.0,0.51,0.0,0.0
6940,Belgium,0.01,0.75,0.01,0.0
6941,Benin,0.01,0.53,0.01,0.0
6942,Benin,0.01,0.48,0.01,0.0
6943,Bangladesh,0.0,0.45,0.01,0.0
6944,Bahrain,0.01,0.19,0.0,0.0
6945,Bosnia and Herzegovina,0.01,0.46,0.01,0.0
6946,Belize,0.01,0.46,0.0,0.0
6947,Belize,0.03,1.19,0.01,0.0
6948,Brazil,0.01,0.08,0.01,0.0
6949,Barbados,0.01,0.53,0.01,0.0
6950,Barbados,0.01,0.26,0.01,0.0
6951,Brunei,0.01,0.42,0.02,0.0
6952,Switzerland,0.01,0.46,0.01,0.0
6953,Switzerland,0.01,0.61,0.01,0.0
6954,Cook Islands,0.01,0.18,0.01,0.0
6955,Cyprus,0.01,0.38,0.0,0.0
6956,Czech Republic,0.01,0.72,0.01,0.0
6957,Dominica,0.01,0.57,0.01,0.0
6958,Dominican Republic,0.0,0.39,0.01,0.0
6959,Algeria,0.01,0.3,0.01,0.0
6960,Eritrea,0.01,0.3,0.0,0.0
6961,Finland,0.01,0.18,0.01,0.0
6962,Finland,0.01,0.3,0.01,0.0
6963,France,0.0,0.62,0.0,0.0
6964,Guinea,0.01,0.26,0.0,0.0
6965,Grenada,0.01,0.47,0.01,0.0
6966,Guyana,0.01,0.34,0.01,0.0
6967,Honduras,0.01,0.38,0.01,0.0
6968,Hungary,0.01,0.21,0.0,0.0
6969,Hungary,0.01,0.19,0.01,0.0
6970,Ireland,0.01,0.36,0.01,0.0
6971,Ireland,0.01,0.39,0.01,0.0
6972,Italy,0.01,0.32,0.01,0.0
6973,Kenya,0.01,0.72,0.01,0.0
6974,Kyrgyzstan,0.01,0.61,0.01,0.0
6975,Kiribati,0.01,0.39,0.01,0.0
6976,Liberia,0.01,0.39,0.01,0.0
6977,Libya,0.01,0.72,0.01,0.0
6978,Sri Lanka,0.02,0.26,0.0,0.0
6979,Luxembourg,0.0,0.7,0.01,0.0
6980,Latvia,0.0,0.34,0.0,0.0
6981,Montenegro,0.0,0.29,0.01,0.0
6982,Montenegro,0.01,0.41,0.01,0.0
6983,Mozambique,0.01,0.34,0.02,0.0
6984,Netherlands,0.01,0.22,0.0,0.0
6985,Norway,0.01,0.26,0.01,0.0
6986,Nauru,0.01,0.27,0.01,0.0
6987,Nauru,0.01,0.45,0.01,0.0
6988,New Zealand,0.0,0.4,0.0,0.0
6989,Panama,0.0,0.3,0.01,0.0
6990,Peru,0.0,0.23,0.01,0.0
6991,Peru,0.01,-2.63,0.01,0.0
6992,Peru,0.01,0.28,0.01,0.0
6993,Philippines,0.0,0.5,0.0,0.0
6994,Papua New Guinea,0.01,0.47,0.0,0.0
6995,Papua New Guinea,0.01,0.39,0.01,0.0
6996,Poland,0.0,0.27,0.01,0.0
6997,North Korea,0.01,0.41,0.0,0.0
6998,North Korea,0.01,0.33,0.01,0.0
6999,Qatar,0.01,0.31,0.02,0.0
7000,Qatar,0.01,0.24,0.01,0.0
7001,Romania,0.01,0.17,0.01,0.0
7002,Saudi Arabia,0.01,0.35,0.01,0.0
7003,Singapore,0.01,0.25,0.01,0.0
7004,Singapore,0.03,0.25,0.01,0.0
7005,Solomon Islands,0.01,0.33,0.01,0.0
7006,Sierra Leone,0.01,0.58,0.01,0.0
7007,Sao Tome and Principe,0.0,0.22,0.01,0.0
7008,Suriname,0.0,0.42,0.01,0.0
7009,Venezuela,0.0,0.19,0.0,0.0
7010,South Africa,0.0,0.29,0.01,0.0
7011,Zimbabwe,0.0,0.36,0.0,0.0
7012,Angola,0.01,0.21,0.0,0.0
7013,Austria,0.0,0.28,0.0,0.0
7014,Burundi,0.0,0.79,0.0,0.0
7015,Bangladesh,0.0,-0.81,0.0,0.0
7016,Bangladesh,0.0,0.35,0.0,0.0
7017,Bulgaria,0.0,0.22,0.0,0.0
7018,Bulgaria,0.0,0.24,0.0,0.0
7019,Bahamas,0.0,0.31,0.0,0.0
7020,Belarus,0.0,0.25,0.0,0.0
7021,Brunei,0.0,0.23,0.0,0.0
7022,Bhutan,0.0,0.12,0.0,0.0
7023,Botswana,0.0,0.43,0.0,0.0
7024,Switzerland,0.0,0.23,0.0,0.0
7025,Chile,0.0,0.04,0.0,0.0
7026,Democratic Republic of the Congo,0.0,0.26,0.0,0.0
7027,Democratic Republic of the Congo,0.0,0.27,0.0,0.0
7028,Colombia,0.01,0.23,0.0,0.0
7029,Colombia,0.0,0.22,0.0,0.0
7030,Cape Verde,0.0,0.21,0.0,0.0
7031,Costa Rica,0.0,0.32,0.0,0.0
7032,Costa Rica,0.0,0.41,0.0,0.0
7033,Costa Rica,0.0,0.13,0.0,0.0
7034,Cuba,0.0,0.71,0.0,0.0
7035,Cuba,0.0,0.23,0.0,0.0
7036,Germany,0.0,0.22,0.0,0.0
7037,Djibouti,0.0,0.13,0.0,0.0
7038,Dominica,0.0,0.22,0.0,0.0
7039,Denmark,0.0,0.13,0.0,0.0
7040,Denmark,0.0,0.22,0.0,0.0
7041,Dominican Republic,0.0,0.46,0.0,0.0
7042,Algeria,0.0,0.22,0.0,0.0
7043,Ecuador,0.0,0.22,0.0,0.0
7044,Ecuador,0.0,0.24,0.0,0.0
7045,Ecuador,0.0,0.18,0.0,0.0
7046,Egypt,0.0,0.18,0.0,0.0
7047,Eritrea,0.0,0.31,0.0,0.0
7048,Eritrea,0.0,0.25,0.0,0.0
7049,Estonia,0.0,0.26,0.0,0.0
7050,Ethiopia,0.0,0.16,0.0,0.0
7051,France,0.0,-0.63,0.0,0.0
7052,France,0.0,0.11,0.0,0.0
7053,France,0.0,0.12,0.0,0.0
7054,Micronesia,0.0,0.07,0.0,0.0
7055,Gabon,0.0,0.15,0.0,0.0
7056,Gabon,0.0,0.18,0.0,0.0
7057,Gabon,0.0,0.07,0.0,0.0
7058,United Kingdom,0.0,0.92,0.0,0.0
7059,Georgia,0.0,0.14,0.0,0.0
7060,Georgia,0.0,0.24,0.0,0.0
7061,Ghana,0.0,0.15,0.0,0.0
7062,Guinea,0.0,0.18,0.0,0.0
7063,Greece,0.0,0.12,0.0,0.0
7064,Greece,0.0,0.13,0.0,0.0
7065,Grenada,0.0,0.28,0.0,0.0
7066,Guyana,0.0,0.09,0.0,0.0
7067,Guyana,0.0,-2.36,0.0,0.0
7068,Honduras,0.0,0.12,0.0,0.0
7069,Honduras,0.0,0.0,0.0,0.0
7070,Croatia,0.0,0.08,0.0,0.0
7071,Hungary,0.0,0.11,0.0,0.0
7072,Ireland,0.0,0.04,0.0,0.0
7073,Iraq,0.0,-0.25,0.0,0.0
7074,Iraq,0.0,0.13,0.0,0.0
7075,Iceland,0.0,0.15,0.0,0.0
7076,Italy,0.0,0.16,0.0,0.0
7077,Kazakhstan,0.0,0.14,0.0,0.0
7078,Kenya,0.0,0.04,0.0,0.0
7079,Kenya,0.0,0.12,0.0,0.0
7080,Kenya,0.0,0.08,0.0,0.0
7081,Cambodia,0.0,0.06,0.0,0.0
7082,Saint Kitts and Nevis,0.0,0.09,0.0,0.0
7083,Lebanon,0.0,0.15,0.0,0.0
7084,Libya,0.0,0.1,0.0,0.0
7085,Saint Lucia,0.0,0.08,0.0,0.0
7086,Lithuania,0.0,0.11,0.0,0.0
7087,Luxembourg,0.0,0.05,0.0,0.0
7088,Latvia,0.0,0.16,0.0,0.0
7089,Latvia,0.0,0.07,0.0,0.0
7090,Morocco,0.0,0.19,0.0,0.0
7091,Morocco,0.0,0.11,0.0,0.0
7092,Madagascar,0.0,0.12,0.0,0.0
7093,Madagascar,0.0,0.29,0.0,0.0
7094,Marshall Islands,0.0,0.19,0.0,0.0
7095,Macedonia,0.0,0.04,0.0,0.0
7096,Malta,0.0,0.09,0.0,0.0
7097,Malta,0.0,-0.45,0.0,0.0
7098,Malta,0.0,0.11,0.0,0.0
7099,Myanmar,0.0,0.11,0.0,0.0
7100,Myanmar,0.01,0.11,0.0,0.0
7101,Mozambique,0.0,0.13,0.0,0.0
7102,Mauritius,0.0,0.05,0.0,0.0
7103,Mauritius,0.0,0.77,0.0,0.0
7104,Mauritius,0.0,0.12,0.0,0.0
7105,Mauritius,0.0,0.07,0.0,0.0
7106,Malawi,0.0,0.03,0.0,0.0
7107,Malawi,0.02,0.07,0.0,0.0
7108,Malaysia,0.0,0.15,0.0,0.0
7109,Niger,0.0,0.08,0.0,0.0
7110,Nigeria,0.0,0.06,0.0,0.0
7111,Nicaragua,0.0,0.1,0.0,0.0
7112,Netherlands,0.0,0.1,0.0,0.0
7113,Norway,0.0,0.07,0.0,0.0
7114,Norway,0.0,0.09,0.0,0.0
7115,Norway,0.0,0.09,0.0,0.0
7116,Norway,0.0,0.08,0.0,0.0
7117,Nepal,0.0,0.08,0.0,0.0
7118,Oman,0.0,-0.05,0.0,0.0
7119,Pakistan,0.0,0.07,0.0,0.0
7120,Panama,0.0,0.06,0.0,0.0
7121,Peru,0.0,0.04,0.02,0.0
7122,Peru,0.0,0.08,0.0,0.0
7123,Philippines,0.0,0.12,0.0,0.0
7124,Palau,0.0,0.07,0.0,0.0
7125,Qatar,0.0,0.07,0.0,0.0
7126,Qatar,0.0,0.1,0.0,0.0
7127,Romania,0.0,0.06,0.0,0.0
7128,Romania,0.0,0.02,0.0,0.0
7129,Sudan,0.0,0.03,0.0,0.0
7130,Senegal,0.0,0.04,0.0,0.0
7131,Senegal,0.0,0.6,0.0,0.0
7132,Senegal,0.0,0.03,0.0,0.0
7133,Singapore,0.0,0.06,0.0,0.0
7134,Singapore,0.0,0.05,0.0,0.0
7135,Solomon Islands,0.0,0.07,0.0,0.0
7136,Solomon Islands,0.0,0.01,0.0,0.0
7137,Sierra Leone,0.0,0.07,0.01,0.0
7138,Sierra Leone,0.0,0.07,0.0,0.0
7139,El Salvador,0.0,0.03,0.0,0.0
7140,Serbia,0.0,0.34,0.0,0.0
7141,Serbia,0.0,0.06,0.01,0.0
7142,South Sudan,0.0,0.0,0.0,0.0
7143,Slovakia,0.0,0.07,0.0,0.0
7144,Slovakia,0.0,0.17,0.0,0.0
7145,Slovenia,0.0,0.05,0.0,0.0
7146,Sweden,0.0,0.02,0.0,0.0
7147,Syria,0.0,0.05,0.0,0.0
7148,Timor-Leste,0.0,0.01,0.0,0.0
7149,Tonga,0.0,0.05,0.0,0.0
7150,Tonga,0.0,0.04,0.0,0.0
7151,Trinidad and Tobago,0.0,0.04,0.0,0.0
7152,Turkey,0.0,0.06,0.0,0.0
7153,Turkey,0.0,0.05,0.0,0.0
7154,Turkey,0.0,0.04,0.0,0.0
7155,Uganda,0.0,0.09,0.0,0.0
7156,Uganda,0.0,0.08,0.0,0.0
7157,Uganda,0.0,0.07,0.0,0.0
7158,Uruguay,0.0,0.04,0.0,0.0
7159,Uzbekistan,0.0,0.06,0.0,0.0
7160,Venezuela,0.0,0.03,0.0,0.0
7161,Venezuela,0.0,0.04,0.0,0.0
7162,Samoa,0.0,0.04,0.0,0.0
7163,South Africa,0.0,0.03,0.0,0.0
7164,Angola,0.0,0.03,0.0,0.0
7165,Angola,0.0,-0.08,0.0,0.0
7166,Argentina,0.0,0.02,0.0,0.0
7167,Antigua and Barbuda,0.0,0.03,0.0,0.0
7168,Antigua and Barbuda,0.0,0.04,0.0,0.0
7169,Australia,0.03,0.03,0.0,0.0
7170,Azerbaijan,0.0,0.04,0.0,0.0
7171,Azerbaijan,0.0,0.06,0.0,0.0
7172,Azerbaijan,0.0,0.03,0.0,0.0
7173,Benin,0.0,0.04,0.0,0.0
7174,Bangladesh,0.0,0.06,0.0,0.0
7175,Bangladesh,0.0,0.03,0.0,0.0
7176,Bangladesh,0.0,0.01,0.0,0.0
7177,Bulgaria,0.0,0.02,0.0,0.0
7178,Bulgaria,0.0,0.03,0.0,0.0
7179,Bahrain,0.0,0.02,0.0,0.0
7180,Bahrain,0.0,0.01,0.03,0.0
7181,Bahrain,0.0,0.02,0.0,0.0
7182,Bahamas,0.0,0.05,0.0,0.0
7183,Bahamas,0.0,0.03,0.0,0.0
7184,Bahamas,0.0,0.1,0.0,0.0
7185,Belarus,0.0,0.02,0.0,0.0
7186,Belarus,0.0,0.02,0.0,0.0
7187,Belarus,0.0,0.07,0.0,0.0
7188,Bolivia,0.0,-0.05,0.0,0.0
7189,Bolivia,0.0,0.03,0.0,0.0
7190,Bolivia,0.0,0.04,0.0,0.0
7191,Bolivia,0.0,0.03,0.0,0.0
7192,Brunei,0.0,0.01,0.0,0.0
7193,Bhutan,0.0,0.03,0.0,0.0
7194,Botswana,0.0,0.01,0.0,0.0
7195,Central African Republic,0.0,0.13,0.0,0.0
7196,Côte d'Ivoire,0.0,0.17,0.0,0.0
7197,Democratic Republic of the Congo,0.02,0.03,0.0,0.0
7198,Cook Islands,0.0,0.01,0.0,0.0
7199,Comoros,0.0,0.02,0.0,0.0
7200,Comoros,0.0,0.05,0.0,0.0
7201,Costa Rica,0.0,0.02,0.0,0.0
7202,Costa Rica,0.0,0.02,0.0,0.0
7203,Cuba,0.0,0.02,0.0,0.0
7204,Cuba,0.0,0.01,0.0,0.0
7205,Cyprus,0.0,0.0,0.02,0.0
7206,Cyprus,0.0,0.02,0.0,0.0
7207,Czech Republic,0.0,0.01,0.0,0.0
7208,Dominica,0.0,0.02,0.0,0.0
7209,Dominica,0.0,0.0,0.0,0.0
7210,Denmark,0.0,0.01,0.0,0.0
7211,Denmark,0.0,0.01,0.0,0.0
7212,Dominican Republic,0.0,0.0,0.0,0.0
7213,Dominican Republic,0.0,0.0,0.0,0.0
7214,Dominican Republic,0.0,0.0,0.0,0.0
7215,Algeria,0.0,0.01,0.01,0.0
7216,Algeria,0.0,0.01,0.0,0.0
7217,Algeria,0.0,0.02,0.0,0.0
7218,Algeria,0.0,0.01,0.0,0.0
7219,Algeria,0.0,0.01,0.0,0.0
7220,Algeria,0.0,0.28,0.0,0.0
7221,Ecuador,0.0,0.03,0.0,0.0
7222,Ecuador,0.0,0.0,0.0,0.0
7223,Ecuador,0.0,0.01,0.0,0.0
7224,Ecuador,0.0,0.01,0.0,0.0
7225,Egypt,0.0,0.01,0.0,0.0
7226,Spain,0.0,0.01,0.0,0.0
7227,Spain,0.0,0.0,0.0,0.0
7228,Estonia,0.0,0.0,0.0,0.0
7229,Ethiopia,0.0,0.0,0.0,0.0
7230,Ethiopia,0.0,0.0,0.0,0.0
7231,Ethiopia,0.0,0.0,0.0,0.0
7232,Micronesia,0.0,0.0,0.0,0.0
7233,Georgia,0.0,0.0,0.0,0.0
7234,Ghana,0.0,0.0,0.0,0.0
7235,Ghana,0.0,0.0,0.0,0.0
7236,Ghana,0.0,0.0,0.0,0.0
7237,Ghana,0.0,0.0,0.0,0.0
7238,Ghana,0.0,0.0,0.0,0.0
7239,Equatorial Guinea,0.0,0.0,0.0,0.0
7240,Equatorial Guinea,0.0,0.0,0.01,0.0
7241,Equatorial Guinea,0.0,0.0,0.0,0.0
7242,Greece,0.0,0.0,0.0,0.0
7243,Greece,0.0,0.0,0.0,0.0
7244,Greece,0.0,0.01,0.0,0.0
7245,Greece,0.0,0.0,0.0,0.0
7246,Grenada,0.0,0.0,0.0,0.0
7247,Grenada,0.0,0.0,0.0,0.0
7248,Grenada,0.0,0.0,0.0,0.0
7249,Guatemala,0.0,0.0,0.0,0.0
7250,Guatemala,0.0,0.0,0.0,0.0
7251,Honduras,0.0,0.0,0.0,0.0
7252,Honduras,0.0,0.0,0.0,0.0
7253,Croatia,0.0,0.0,0.0,0.0
7254,Croatia,0.0,0.01,0.0,0.0
7255,Croatia,0.0,0.0,0.0,0.0
7256,Haiti,0.0,0.0,0.0,0.0
7257,Hungary,0.0,0.0,0.0,0.0
7258,India,0.0,0.0,0.0,0.0
7259,Ireland,0.0,0.0,0.0,0.0
7260,Ireland,0.0,0.0,0.0,0.0
7261,Iran,0.0,0.0,0.0,0.0
7262,Iraq,0.0,0.0,0.0,0.0
7263,Iceland,0.0,0.0,0.0,0.0
7264,Iceland,0.0,0.0,0.0,0.0
7265,Israel,0.0,0.01,0.0,0.0
7266,Jamaica,0.0,0.0,0.0,0.0
7267,Jamaica,0.0,0.06,0.0,0.0
7268,Jamaica,0.0,0.0,0.0,0.0
7269,Jordan,0.0,0.0,0.0,0.0
7270,Jordan,0.0,0.0,0.0,0.0
7271,Jordan,0.0,0.0,0.0,0.0
7272,Japan,0.0,0.0,0.0,0.0
7273,Japan,0.0,0.0,0.0,0.0
7274,Kazakhstan,0.0,0.0,0.0,0.0
7275,Kenya,0.0,0.0,0.0,0.0
7276,Kyrgyzstan,0.0,0.0,0.0,0.0
7277,Kiribati,0.0,-0.01,0.0,0.0
7278,Saint Kitts and Nevis,0.0,0.0,0.0,0.0
7279,Kuwait,0.0,0.0,0.0,0.0
7280,Kuwait,0.0,0.0,0.0,0.0
7281,Kuwait,0.0,0.0,0.0,0.0
7282,Laos,0.0,0.0,0.0,0.0
7283,Laos,0.0,0.0,0.0,0.0
7284,Lebanon,0.0,0.0,0.01,0.0
7285,Lebanon,0.0,0.0,0.0,0.0
7286,Libya,0.0,0.0,0.0,0.0
7287,Saint Lucia,0.0,0.0,0.0,0.0
7288,Saint Lucia,0.0,0.0,0.0,0.0
7289,Liechtenstein,0.0,0.0,0.0,0.0
7290,Sri Lanka,0.0,0.0,0.0,0.0
7291,Lithuania,0.0,0.0,0.0,0.0
7292,Lithuania,0.0,0.0,0.0,0.0
7293,Luxembourg,0.0,0.0,0.0,0.0
7294,Latvia,0.0,0.0,0.0,0.0
7295,Latvia,0.0,0.0,0.0,0.0
7296,Morocco,0.0,0.0,0.0,0.0
7297,Morocco,0.0,0.0,0.0,0.0
7298,Mexico,0.0,0.0,0.0,0.0
7299,Mexico,0.0,0.0,0.0,0.0
7300,Marshall Islands,0.0,0.0,0.0,0.0
7301,Myanmar,0.0,0.0,0.0,0.0
7302,Myanmar,0.0,0.0,0.0,0.0
7303,Montenegro,0.0,0.0,0.0,0.0
7304,Mongolia,0.0,0.0,0.0,0.0
7305,Mozambique,0.0,0.0,0.0,0.0
7306,Mozambique,0.0,0.0,0.0,0.0
7307,Mauritius,0.0,0.0,0.0,0.0
7308,Nigeria,0.0,0.0,0.0,0.0
7309,Nigeria,0.0,0.0,0.0,0.0
7310,Nicaragua,0.0,0.0,0.0,0.0
7311,Niue,0.0,0.0,0.0,0.0
7312,Netherlands,0.0,0.0,0.0,0.0
7313,Netherlands,0.0,0.0,0.0,0.0
7314,Nepal,0.0,0.0,0.0,0.0
7315,Nepal,0.0,0.0,0.0,0.0
7316,New Zealand,0.0,0.0,0.0,0.0
7317,New Zealand,0.0,0.0,0.0,0.0
7318,Oman,0.0,0.0,0.0,0.0
7319,Oman,0.0,0.0,0.0,0.0
7320,Oman,0.0,0.0,0.0,0.0
7321,Oman,0.0,0.0,0.0,0.0
7322,Oman,0.0,0.0,0.0,0.0
7323,Panama,0.0,0.0,0.0,0.0
7324,Panama,0.01,0.0,0.0,0.0
7325,Panama,0.0,-0.68,0.02,0.0
7326,Philippines,0.0,0.0,0.01,0.0
7327,North Korea,0.0,0.0,0.0,0.0
7328,Portugal,0.0,0.0,0.0,0.0
7329,Portugal,0.0,0.0,0.0,0.0
7330,Portugal,0.0,0.0,0.0,0.0
7331,Qatar,0.0,0.0,0.0,0.0
7332,Romania,0.0,0.0,0.0,0.0
7333,Romania,0.0,0.0,0.0,0.0
7334,Sudan,0.02,0.0,0.0,0.0
7335,Sudan,0.0,0.0,0.0,0.0
7336,Sudan,0.0,0.0,0.0,0.0
7337,Senegal,0.0,0.0,0.0,0.0
7338,Senegal,0.0,0.0,0.0,0.0
7339,Senegal,0.0,0.0,0.0,0.0
7340,Senegal,0.0,0.0,0.0,0.0
7341,Senegal,0.0,0.0,0.0,0.0
7342,Singapore,0.0,0.0,0.0,0.0
7343,El Salvador,0.0,0.0,0.0,0.0
7344,El Salvador,0.0,0.0,0.0,0.0
7345,El Salvador,0.0,0.0,0.0,0.0
7346,Serbia,0.0,-0.01,0.0,0.0
7347,Serbia,0.0,-0.03,0.0,0.0
7348,Serbia,0.0,0.01,0.0,0.0
7349,Serbia,0.0,-0.06,0.0,0.0
7350,Sao Tome and Principe,0.0,-0.08,0.0,0.0
7351,Sao Tome and Principe,0.0,-0.08,0.0,0.0
7352,Suriname,0.0,-2.84,0.0,0.0
7353,Suriname,0.0,-0.13,0.0,0.0
7354,Suriname,0.0,-0.4,0.0,0.0
7355,Slovenia,0.0,-0.15,0.0,0.0
7356,Slovenia,0.01,-0.84,0.0,0.0
7357,Slovenia,0.0,-0.32,0.0,0.0
7358,Sweden,0.0,-0.24,0.0,0.0
7359,Eswatini,0.0,-6.09,0.0,0.0
7360,Eswatini,0.0,-7.61,0.0,0.0
7361,Eswatini,0.0,0.4,0.0,0.0
7362,Seychelles,0.0,-1.32,0.0,0.0
7363,Syria,0.01,-1.18,0.0,0.0
7364,Syria,0.0,-3.72,0.0,0.0
7365,Syria,0.0,-6.9,0.0,0.0
7366,Togo,0.0,-2.85,0.0,0.0
7367,Thailand,0.0,-1.44,0.0,0.0
7368,Tajikistan,0.0,-2.21,0.0,0.0
7369,Tajikistan,0.0,-2.55,0.0,0.0
7370,Turkmenistan,0.0,-2.68,0.0,0.0
7371,Turkmenistan,0.0,-2.25,0.0,0.0
7372,Turkmenistan,0.0,-9.86,0.0,0.0
7373,Timor-Leste,0.0,-12.71,0.0,0.0
7374,Timor-Leste,0.0,-0.74,0.0,0.0
7375,Timor-Leste,0.0,-3.12,0.0,0.0
7376,Trinidad and Tobago,0.0,3.88,0.0,0.0
7377,Trinidad and Tobago,0.0,-1.5,0.0,0.0
7378,Trinidad and Tobago,0.0,-3.64,0.0,0.0
7379,Tunisia,0.0,-7.07,0.0,0.0
7380,Tunisia,0.0,-7.29,0.0,0.0
7381,Tunisia,0.0,8.29,0.0,0.0
7382,Turkey,0.0,-16.72,0.0,0.0
7383,Tuvalu,0.0,-9.31,0.0,0.0
7384,Tuvalu,0.0,-14.27,0.0,0.0
7385,Tuvalu,0.0,-22.12,0.0,0.0
7386,Tanzania,0.0,-34.67,0.0,0.0
7387,Uruguay,0.0,-7.86,0.0,0.0
7388,Uruguay,0.0,-22.2,0.0,0.0
